county,area_km2,post_offices,population,post_offices_per_capita,post_office_per_area_km2,population_per_km2
Cork,7457,85,584156,0.0001455090763426208,0.011398685798578516,78.33659648652274
Galway,6148,56,277737,0.00020162959922516625,0.009108653220559532,45.17517891997397
Mayo,5585,46,137970,0.00033340581285786766,0.008236347358997314,24.70367054610564
Donegal,4841,52,167084,0.0003112207033587896,0.010741582317702954,34.51435653790539
Kerry,4746,31,156458,0.00019813624103593295,0.006531816266329541,32.96628739991572
Tipperary,4303,31,167895,0.00018463920902945293,0.007204276086451313,39.01812688821752
Clare,3147,26,127938,0.000203223436351983,0.008261836669844296,40.65395614871306
Limerick,2686,43,209536,0.0002052153329260843,0.01600893521965748,78.01042442293372
Roscommon,2547,14,70259,0.00019926272790674504,0.005496662740478995,27.585001963093834
Wexford,2352,30,163919,0.00018301722192058274,0.012755102040816327,69.69345238095238
Meath,2342,29,220826,0.00013132511570195538,0.012382578992314262,94.28949615713066
Kilkenny,2061,14,104160,0.00013440860215053763,0.006792819019893256,50.538573508005825
Wicklow,2024,17,155851,0.00010907854296732135,0.008399209486166008,77.00148221343873
Offaly,2000,15,83150,0.0001803968731208659,0.0075,41.575
Cavan,1931,18,81704,0.00022030745128757466,0.009321595028482652,42.3117555670637
Westmeath,1838,17,96221,0.00017667660905623512,0.009249183895538629,52.35092491838955
Waterford,1837,12,127363,9.421888617573392e-05,0.0065323897659227,69.33206314643441
Sligo,1836,19,70198,0.0002706629818513348,0.010348583877995643,38.234204793028326
Laois,1719,8,91877,8.70729344667327e-05,0.004653868528214078,53.44793484584061
Kildare,1693,26,247774,0.00010493433532170445,0.01535735380980508,146.35203780271706
Leitrim,1588,14,35199,0.0003977385721185261,0.008816120906801008,22.165617128463477
Monaghan,1294,11,65288,0.00016848425438059062,0.008500772797527048,50.45440494590417
Longford,1091,11,46751,0.00023528908472546042,0.01008249312557287,42.85151237396884
Dublin,921,115,1458154,7.886684122527524e-05,0.1248642779587405,1583.2290988056461
Carlow,896,11,61968,0.00017751097340562872,0.012276785714285714,69.16071428571429
Louth,820,20,139703,0.00014316084837118746,0.024390243902439025,170.36951219512196
